iter	TotalF1	MultiClass
155	0.8548213835	-0.4580847589
156	0.8554006846	-0.4564018904
157	0.8555131835	-0.4557481132
158	0.8557296009	-0.4551158104
159	0.8559996967	-0.4539648277
160	0.8563097182	-0.4531541915
161	0.8564919807	-0.4519531405
162	0.8569826269	-0.4506762099
163	0.8572676644	-0.4496214833
164	0.8578026415	-0.4478281034
165	0.8577718528	-0.4470576668
166	0.8580641883	-0.4460277168
167	0.8583736292	-0.4447741335
168	0.8584220388	-0.4441059162
169	0.8587127398	-0.4430863275
170	0.8590991864	-0.4417123725
171	0.85909206	-0.4408282813
172	0.8595329898	-0.4397115256
173	0.8598284811	-0.4389807865
174	0.8602620026	-0.4377137879
175	0.8604171799	-0.4372127694
176	0.8606720548	-0.4365134385
177	0.8608405734	-0.4355859317
178	0.8609610161	-0.4347983057
179	0.8614549659	-0.4334056776
180	0.861827299	-0.4318813432
181	0.862023943	-0.4313818341
182	0.8623235855	-0.4304914211
183	0.8628639516	-0.4292575341
184	0.8632764342	-0.4286072819
185	0.8635033143	-0.427515477
186	0.8637341329	-0.4269416426
187	0.8640269405	-0.4261152993
188	0.8643712331	-0.4248777778
189	0.864554975	-0.4240190509
190	0.8650918764	-0.4223586052
191	0.865240911	-0.4216598497
192	0.8655415663	-0.4206085672
193	0.8656393496	-0.4201988484
194	0.8660530574	-0.4192045314
195	0.8661222358	-0.4186109006
196	0.8662704056	-0.4178217871
197	0.8664129241	-0.4171581449
198	0.8666092398	-0.416372429
199	0.8668399084	-0.4155352776
200	0.8670944112	-0.4144038617
201	0.8675783518	-0.4130956811
202	0.8677590777	-0.4126874138
203	0.8676524021	-0.4120679483
204	0.8680741678	-0.41119623
205	0.8681043628	-0.4108572455
206	0.86834882	-0.41002246
207	0.8685921348	-0.4092339485
208	0.8690663464	-0.4082159534
209	0.8692394926	-0.4073656173
210	0.8694467169	-0.4066187544
211	0.8695412271	-0.4062579625
212	0.8698721206	-0.4051207458
213	0.8700491695	-0.4044938118
214	0.8703173124	-0.4036705451
215	0.870469881	-0.4029920743
216	0.8705081542	-0.4024208547
217	0.8706793075	-0.4018953169
218	0.8711482681	-0.4008988262
219	0.8712886666	-0.3998739982
220	0.8716635012	-0.3987947329
221	0.8717216405	-0.3981455454
222	0.8719047449	-0.3975819521
223	0.8721176661	-0.3968003523
224	0.8722831661	-0.3961071758
225	0.8724292779	-0.3957225484
226	0.872579068	-0.3951297514
227	0.8727969284	-0.3945726094
228	0.8728302277	-0.3940600303
229	0.8731284513	-0.3930817235
230	0.8733658479	-0.3922205351
231	0.8735542665	-0.3917850443
232	0.8737333385	-0.3913641781
233	0.8739697159	-0.3906499093
234	0.8739572975	-0.3902135773
235	0.8741470466	-0.3894495147
236	0.8741587244	-0.3891008923
237	0.8742993496	-0.3885338559
238	0.8744930722	-0.3878415104
239	0.8746244231	-0.3873516768
240	0.8746457375	-0.3870364612
241	0.8747624508	-0.3864306101
242	0.8749220991	-0.3855226765
243	0.8750602729	-0.3849059814
244	0.8751039735	-0.3845626358
245	0.8753011717	-0.3839510477
246	0.8755186312	-0.3830438317
247	0.8757128842	-0.3823760097
248	0.8757955113	-0.3815998109
249	0.8759158315	-0.3810640072
250	0.8759269157	-0.3806985184
251	0.8761176013	-0.3801496499
252	0.8762234183	-0.3794675414
253	0.8763377488	-0.3789833168
254	0.8765126436	-0.3783264154
255	0.8765613954	-0.3779027825
256	0.8766223389	-0.3772808593
257	0.8768802908	-0.3764939262
258	0.8769180419	-0.3760685454
259	0.8770842976	-0.3756350174
260	0.8770843907	-0.375308492
261	0.8772326997	-0.3749823243
262	0.8774037807	-0.374467949
263	0.8774452971	-0.3740575222
264	0.877629573	-0.3736142
265	0.8777537706	-0.3729280078
266	0.8778651266	-0.3724893115
267	0.8780161482	-0.3720289551
268	0.878133626	-0.3715602808
269	0.8781858565	-0.3712901936
270	0.8782512794	-0.3707401634
271	0.8784279778	-0.3703396742
272	0.8784674933	-0.3699510721
273	0.8785515985	-0.3694757939
274	0.8787456463	-0.3688958997
275	0.8788517596	-0.3685577909
276	0.8789323787	-0.36818393
277	0.8790865562	-0.3675468705
278	0.8792273788	-0.3670297104
279	0.8793377948	-0.3666444187
280	0.879520813	-0.3661779198
281	0.8795783674	-0.3657448705
282	0.8796615969	-0.365453557
283	0.8798872946	-0.3648713954
284	0.8799351163	-0.3644034515
285	0.8799974894	-0.3638847859
286	0.8801511021	-0.3634380931
287	0.8802853326	-0.3630115387
288	0.8803772203	-0.3626570597
289	0.8804674676	-0.3622448249
290	0.8805645434	-0.361808359
291	0.8806947548	-0.3613585163
292	0.8807542108	-0.3609779715
293	0.8808016747	-0.3604757372
294	0.8808612544	-0.3602292053
295	0.8809418675	-0.3598856184
296	0.8811201534	-0.3593044464
297	0.8811848723	-0.3588431713
